title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
"Chasse aux piscines non déclarées : le partenariat entre le fisc, Google et Capgemini fait grincer des dents",2022,"[ ""Damien Robinet"" ]",article de presse,Le Parisien,"Les deux entreprises ont développé, pour le compte de Bercy, un logiciel qui traque les piscines non déclarées. Mais dans les départements tests, notamment dans les Bouches-du-Rhône, les agents déplorent de nombreuses erreurs.",Aurélie Lebelle,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20221117_175635-5tx
Open Data des décisions de justice : mission de préfiguration,2017,"[ ""Sumi Saint-Auguste"" ]",rapport,Ministère de la Justice,"Remise du rapport sur ""l'open data"" des décisions de Justice Loïc Cadiet, professeur à l’Ecole de droit de la Sorbonne (université Paris-I), à qui avait été confiée, le 9 mai dernier, une mission sur l’open data des décisions de Justice, a remis le 9 janvier 2017 son rapport à la garde des Sceaux. Le rapport formule des recommandations solides et engageantes pour la mise en œuvre normative et technique de cet open data dans la perspective: - de renforcer les techniques existantes dites de « pseudonymisation » des décisions, afin d’assurer la protection de la vie privée des personnes, qui est garantie par la loi pour une République numérique – - d’ instituer une régulation des algorithmes qui exploitent les données issues des décisions, afin d’assurer une transparence sur les méthodologies mises en œuvre – - de définir les principes directeurs de l’architecture nouvelle de l’open data, en confiant la gestion des bases à la Cour de cassation et au Conseil d’Etat, ainsi que la mission essentielle de « pseudonymisation » des décisions collectées auprès des juridictions – - d’exposer les principales possibilités de diffusion des décisions au public.",Loïc Cadiet,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_215430-6fp
"Quantified Self, Genre, Santé ... Et Digital Labor ?",2018,"[ ""Lucie Ronfaut"" ]",article de blog,Hypotheses,,Marion Coville,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_163705-c70
Restitution du programme IA et Droit / Données d'apprentissage d'Open Law,2017,"[ ""Sumi Saint-Auguste"" ]",rapport,Open Law,"Présentation du programme et restitution des principaux travaux menés avec les leços apprises, notamment sur le travail d'annotation et la formation à ce travail.",Open Law,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.4. Travailler avec l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_215108-t5t
Cour de Cassation | moteur de recherche - décisions,2022,"[ ""Hugo Ruggieri"", ""Sumi Saint-Auguste"" ]",interface,Cour de Cassation (site web),,,"[ ""4.2. Chaînes de valeur de la donnée"", ""3.4. Travailler avec l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_160341-7nk
L’impartialité de certains juges mise à mal par l’intelligence artificielle,2016,"[ ""Sumi Saint-Auguste"", ""Hugo Ruggieri"" ]",article de blog,Medium,Article Medium de Michael Benesty décrivant comment l'algorithme Supralegem a démontré la partialité des décisions de juges en employant les techniques de machine learning. Cas des obligations de quitter le territoire français.,Supra legem (Michael Benesty),"[ ""4.2. Chaînes de valeur de la donnée"", ""3.5. Justifier les projets d’IA "", ""2.5. Instrumenter l'action publique"", ""3.2. Expérimenter l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_201757-m59
Dark Patterns,2020,"[ ""Célia Zolynski"" ]",article scientifique,ACM Queue,,"ARVIND NARAYANAN, ARUNESH MATHUR, MDARSHINI CHETTY, AND MIHIR KSHIRSAGAR","[ ""4.2. Chaînes de valeur de la donnée"", ""4.1. Prises, emprises, déprises, reprises"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230701_171529-osy
The Visual Chatbot - Janelle Shane,2018,"[ ""Lucie Ronfaut"" ]",article de blog,Site AI Weirdness,"Post de blog de Janelle Shane à propos de Visual Chatbot, un algorithme dont l'objectif est de répondre aux questions posées sur une image",Janelle Shane,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_150147-qfx
Heuritech remporte le LVMH Innovation Award à Viva Technology,2017,"[ ""Charles Ollion"" ]",article de presse,Les Echos Entrepreneurs,Article des Echos à propos de la réception du LVMH Innovation Award par l'entreprise Heuritech,Basile Dekonink,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_114854-guu
"Après sa série de victoires sur l'homme, Google met son IA à la retraite",2017,"[ ""Lucie Ronfaut"" ]",article de presse,Site du Figaro,"Article de la journaliste Lucie Ronfaut (Le Figaro) à propos de la ""retraite"" d'AlphaGo, l'IA de Google spécialisée dans le jeu de go",Lucie Ronfaut,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_143727-jfg
"Yann LeCun : ""Notre plus grand laboratoire d'IA est à Paris""",2018,"[ ""Lucie Ronfaut"" ]",article de presse,Le Figaro,Interview de Yann LeCun par la journaliste du Figaro Lucie Ronfaut à propos de l'installation du laboratoire parisien de Fair (Meta),Lucie Ronfaut,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_150449-wrs
GAFAM & IA - Le Figaro,2018,"[ ""Lucie Ronfaut"" ]",article de presse,Le Figaro,Quelques titres d'articles de presse parus dans le Figaro sur les GAFAM ,,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_144530-i1x
La French Tech : une ambition collective pour les start-up françaises,2021,"[ ""Lucie Ronfaut"" ]",communiqué,Site du Gouvernement français,"Chronologie et présentation de l'initiative ""La French Tech""",Gouvernement français,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_145850-68x
Test de Turing (schéma),2008,"[ ""Lucie Ronfaut"", ""P.Ramaciotti Morales"", ""RYBN"" ]",diagramme,Wikipedia,,Bilby,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230622_185545-yjw
Le Cycle des robots,1950,"[ ""Cédric Buron"" ]",livre,J'ai Lu,Pages de couverture des six tomes du Cycle des Robots écrit par Isaac Asimov,Isaac Asimov,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_143036-8p1
Terminator Studies,2014,"[ ""RYBN"" ]",programme,La Gaité Lyrique,,Jean Baptiste Bayle,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_143607-b37
Angles morts du numérique. Limites de la programmation,2020,"[ ""Marie Lechner"" ]",programme,Site de Cerisy,"Présentation et programme du colloque ""Angles morts du numérique"", organisé à Cerisy","Yves CITTON, Francis JUTAND, Marie LECHNER, Anthony MASURE, Vanessa NUROCK et Olivier LECOINTE","[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_154906-czn
"Confiance, innovation, solidarité : Pour une vision française du numérique en santé",2020,"[ ""Ninon Burgos"" ]",rapport,Site du CNNum,Rapport du Conseil National du Numérique (CNNum) relatif à la transformation numérique du système de santé,CNNum,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_123156-1jb
"CES 2019 : On a joué avec AIBO, le chient robot de Sony",2019,"[ ""Lucie Ronfaut"" ]",vidéo,Site du Figaro,"Capsule vidéo de Lucie Ronfaut à propos du chien robot de Sony, nommé AIBO, lors du CES 2019",Lucie Ronfaut,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_144013-qn3
Salon IFA 2019 - FigaroLive,2019,"[ ""Lucie Ronfaut"" ]",vidéo,FigaroLive,"Live de Lucie Ronfaut, journaliste au Figaro, auprès des entreprises de la French Tech du salon IFA 2019",Lucie Ronfaut,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_144738-37c
Keynote Apple,2021,"[ ""Lucie Ronfaut"" ]",vidéo,Site d'Apple,"Vidéo d'une keynote de Tim Cook, CEO d'Apple, en septembre 2021",Apple,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_145033-lhr
LG's new robotic assistant Cloi uses AI to make your home smarter,2018,"[ ""Lucie Ronfaut"" ]",vidéo,Youtube,"Vidéo de présentation par LG d'un nouveau robot assistant, Cloi, sur la chaîne Youtube CNET",CNET,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_145329-l9g
IBM Watson & Jeopardy !,2013,"[ ""Cédric Buron"", ""Lucie Ronfaut"" ]",vidéo,youtube,"Extraits de la victoire de Watson à ""Jeopardy !"" et article du New York Times sur sa postérité après cette victoire",IBM Research,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_144114-pd6
Rebels with a Cause (Your Privacy) - WIRED,1993,"[ ""Félix Tréguer"" ]",article de presse,WIRED,Couverture d'un numéro du magazine WIRED à propos de défenseurs de la confidentialité des données personnelles,Collectif,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_155529-j6g
Programme de la présidence française de l'Union Européenne,2022,"[ ""Cécile Crichton"" ]",communiqué,PRÉSIDENCE FRANÇAISE DU CONSEIL DE L'UNION EUROPÉENNE,"France 2022. Relance, Puissance, Appartenance. Le programme de la présidence française du conseil de l'Unions Européenne. 1er janvier, 30 juin 2022.",PRÉSIDENCE FRANÇAISE DU CONSEIL DE L'UNION EUROPÉENNE,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_110529-bb9
Computing Machinery & Intelligence - Alan Turing,1950,"[ ""Lucie Ronfaut"", ""P.Ramaciotti Morales"", ""RYBN"" ]",article scientifique,Mind (journal),,Alan Turing,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230622_183838-yk7
Océan rouge océan bleu,2004,"[ ""William Eldin"" ]",image,,,,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_181233-n0x
Wiener - God and Golem,1964,"[ ""RYBN"" ]",livre,,,Norbert Wiener,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.1. Performer le social"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180614-zbm
5 robots that were humans in costume,2022,"[ ""RYBN"" ]",article (presse spécialisée),Gizmodo,,Matt Novak,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_135743-701
La Guerre des Intelligences. Intelligence Artificielle versus Intelligence Humaine,2017,"[ ""William Eldin"" ]",livre,JC Lattès,Livre de Laurent Alexandre à propos de l'intelligence artificielle et de l'intelligence humaine,Laurent Alexandre,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_142541-s13
work hard. have fun. make history.,2018,"[ ""RYBN"" ]",œuvre,Site de RYBN,Photographie d'une exposition du collectif artistique RYBN avec le slogan d'Amazon,Inconnu,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_160147-oxx
Exposition - Haunted by Algorithms,2021,"[ ""Marie Lechner"" ]",exposition,Newsletter de RYBN,"Présentation de l'exposition ""Haunted by Algorithms"", organisée au centre d'art YGREC ENSAPC",Jeff Guess & Gwenola Wagon,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_154038-dql
Shitty Robots | Simone Giertz,2016,"[ ""Lucie Ronfaut"" ]",vidéo,Youtube,,Simone Giertz,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.3. Ouvrir les boîtes noires"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_154220-bax
Projet de loi Loi Informatique et Libertés,1978,"[ ""Félix Tréguer"" ]",texte législatif,Sénat,Projet de loi 1978 - Loi Informatique et libertés,,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.4. Réguler l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_173659-glg
Community Memory Project,1974,"[ ""Félix Tréguer"" ]",image,L'utopie déchue,"Photo du terminal du Memory Community Project installé chez un disquaire à San Francisco, 1974",,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.4. Réguler l’IA"", ""0. Des modes de participation à l'IA"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_171453-e54
"Utilisation de l'IA par la DGFiP : précisions de son directeur général, Jérôme Fournel",2021,"[ ""Damien Robinet"" ]",article (presse spécialisée),Compta online,Article sur l'utilisation de l'IA pour la dérection de la fraude par la DGFiP,Maxime Navarrete,"[ ""4.3. Formation des imaginaires par la mise en récit de l'IA"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_151812-woa
